Магазин,Координаты,Время покупки,Категории,Бренды,Номер карточки,Количество товаров,Стоимость покупок
Дикси,"(59.9097383,30.2752899)",2024-08-15 11:43:36.025342,"{'Мясо', 'Средство для ванной', 'Корма для животных', 'Минеральная вода', 'Мусорные пакеты', 'Моющее средство', 'Молочные продукты', 'Масло сливочное', 'Кондитерские изделия', 'Напитки', 'Колбасные изделия', 'Хлебобулочные', 'Печенье', 'Рыба и морепродукты', 'Средство для чистки', 'Рис', 'Овощи'}","{'Папа может', 'Persil', 'Тёма', 'Comet', 'Санта Бремор', 'Славянка', 'Увелка', 'Мираторг', 'Тульский', 'Балтийский берег', 'Черкизово', 'Боржоми', 'Крестьянское', 'Paclan', 'Савушкин', 'Юбилейное', 'Sanfor', 'Кока-Кола', 'Purina', 'Фермер'}",4276 1608 9463 3335,22,3629
Красное&Белое,"(59.9087062,30.3459262)",2023-06-25 13:39:57.631190,"{'Портвейн', 'Джин', 'Вермуты', 'Эль', 'Вино', 'Текила', 'Шампанское', 'Ром', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Patron', 'Инкерман', 'Campari', 'Strongbow', 'Русский Стандарт', 'Amstel', 'Bass Pale Ale', 'Moet & Chandon', 'Bombay Sapphire', ""Jack Daniel's"", 'Chivas Regal', 'Budweiser', 'Beefeater', 'Veuve Clicquot', 'Leffe', 'Bosca', ""Fuller's"", 'Bacardi', 'Jose Cuervo', 'Fonseca'}",4277 4626 9750 5697,23,28440
Пятёрочка,"(59.9210744,30.3388217)",2023-02-07 09:38:07.521811,"{'Крупы', 'Мясо', 'Сладости', 'Кофе и чай', 'Средство для ванной', 'Кофе', 'Конфеты', 'Салфетки', 'Молочные продукты', 'Газировка', 'Рыба и морепродукты', 'Прокладки', 'Батарейки', 'Хлебобулочные', 'Сок', 'Зубная паста'}","{'Colgate', 'Ahmad Tea', 'Фруктовый Сад', 'Тёма', 'Always', 'Санта Бремор', 'Cillit Bang', 'Увелка', 'Тавр', 'Рот Фронт', 'Kleenex', 'ВкусВилл', 'Коммунарка', 'Булочный Завод', 'Каравай', 'Naturella', 'Pepsi', 'Jacobs', 'Duracell', 'Селяночка'}",5406 4215 2377 2682,21,3746
Пятёрочка,"(59.926993,30.2963327)",2023-09-14 16:30:36.340826,"{'Туалетная бумага', 'Бытовая химия', 'Детские товары', 'Гель для душа', 'Коньяк', 'Кондитерские изделия', 'Вино', 'Хлебобулочные', 'Полуфабрикаты', 'Колбаса'}","{'Наполеон', 'Шардоне', 'Fairy', 'Останкино', 'Солнце и Луна', 'Бородинский', 'Hennessy', 'Dove', 'Мираторг', 'Kleenex'}",4277 3541 8254 7089,10,5410
Дикси,"(59.9240244,30.2858211)",2023-07-15 16:49:56.895260,"{'Сладости', 'Подгузники', 'Конфеты', 'Салфетки', 'Моющее средство', 'Масло сливочное', 'Рыба и морепродукты', 'Вино', 'Хлеб', 'Печенье', 'Водка', 'Мясо', 'Полуфабрикаты'}","{'Шардоне', 'Останкино', 'Persil', 'Красный Октябрь', 'Юбилейное', 'Коммунарка', 'Крестьянское', 'Бородинский', 'Zewa', 'Русский Стандарт', 'КампоМос', 'Русское море', 'Huggies', 'Коркунов', 'Kleenex'}",5489 1286 1980 6090,18,4965
Ароматный мир,"(59.9176211,30.3455469)",2023-05-17 15:34:21.958617,"{'Джин', 'Текила', 'Эль', 'Виски'}","{'Patron', ""Jack Daniel's"", ""Fuller's"", 'Espolon', 'Tanqueray'}",2204 6227 6907 1801,5,9390
Ароматный мир,"(59.9041522,30.323596)",2024-05-29 12:55:32.759507,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Коньяк', 'Эль', 'Текила', 'Шампанское', 'Ром', 'Водка', 'Пиво', 'Виски'}","{'Johnnie Walker', 'Amaretto', 'Pliska', 'Финляндия', 'Don Julio', ""Sheridan's"", 'Балтика 7', 'Moet & Chandon', 'Zacapa', ""Dow's"", ""Jack Daniel's"", 'Stella Artois', 'Chivas Regal', 'Fonseca', 'Budweiser', 'Hoegaarden', 'Veuve Clicquot', ""Gordon's"", ""Fuller's"", 'Heineken', 'Martini Asti', 'Remy Martin'}",5489 2312 5766 3127,24,39970
Техпорт,"(59.9078984,30.3262179)",2023-12-03 19:29:12.217646,"{'Принтер', 'Жесткий диск', 'Фотоаппарат', 'Игровая консоль', 'Мышь', 'Флешка', 'Микрофон', 'Электронная книга', 'Сканер'}","{'PocketBook', 'Blue Yeti', 'Transcend', 'Microsoft', 'HP', 'Nikon', 'Fujitsu', 'Western Digital', 'Logitech'}",5406 3562 7827 6278,9,120400
Ароматный мир,"(59.928991,30.3118417)",2023-01-30 22:35:18.020861,"{'Ликер', 'Бренди', 'Джин', 'Коньяк', 'Эль', 'Вино', 'Текила', 'Шампанское', 'Водка', 'Пиво', 'Виски'}","{'Жигулевское', 'Metaxa', 'Абрау-Дюрсо', 'Patron', 'Carlsberg', 'Царская', 'Советское', ""Sheridan's"", 'Jameson', 'Hennessy', 'Old Speckled Hen', 'Tanqueray', 'Массандра', 'Kahlua', 'Courvoisier'}",4276 8028 2783 9584,16,24050
Whale Store,"(59.9117747,30.3149362)",2023-03-06 22:55:51.022647,"{'Планшет', 'Наушники', 'Игровая консоль', 'Жесткий диск', 'Микрофон', 'Флешка', 'Электронная книга'}","{'Seagate', 'PocketBook', 'Bose', 'Transcend', 'SanDisk', 'Audio-Technica', 'Sony', 'Apple', 'Kindle', 'Western Digital'}",4272 7376 6457 9375,12,187900
Магнит,"(59.906095,30.312277)",2023-06-11 10:22:58.220413,"{'Влажные салфетки', 'Сладости', 'Бытовая химия', 'Средство для ванной', 'Детские товары', 'Кофе', 'Шоколад', 'Колбасные изделия', 'Хлебобулочные', 'Полуфабрикаты', 'Майонез', 'Овощи'}","{'Папа может', 'Fairy', 'Свой урожай', 'Cillit Bang', 'Останкино', 'Pampers', 'Calve', 'Jacobs', 'Булочная Столичная', 'Аленка', 'Коркунов'}",4277 9422 5722 3444,12,2585
Дикси,"(59.9228804,30.3078135)",2023-11-04 13:41:27.377724,"{'Влажные салфетки', 'Крупы', 'Корма для животных', 'Подгузники', 'Мусорные пакеты', 'Салфетки', 'Молочные продукты', 'Мясо', 'Полуфабрикаты', 'Макароны', 'Фрукты'}","{'Сады России', 'Макфа', 'Брест-Литовск', 'Китикэт', 'Агро-Альянс', 'Тавр', 'Fackelmann', 'Huggies', 'Сибирская коллекция', 'Whiskas', 'Простоквашино', 'Kleenex'}",5443 9048 8599 7182,14,2695
Учёный кот,"(59.9271117,30.3400963)",2024-03-01 10:27:52.743290,"{'Бизнес-литература', 'Фантастика', 'Поэзия', 'Научная фантастика', 'Классика', 'Исторический роман', 'Фэнтези', 'Юмор', 'Детектив'}","{'Гаррисон', 'Чейз', 'Лермонтов', 'Фоллетт', 'Хайнлайн', 'Герберт', 'Грин', 'Тургенев', 'Гашек', 'Эриксон', 'Лем', 'Пушкин'}",5489 2209 6559 3497,12,4440
Красное&Белое,"(59.9087062,30.3459262)",2023-03-08 11:03:44.451977,"{'Портвейн', 'Джин', 'Текила', 'Ром', 'Водка', 'Пиво'}","{'Белуга', 'Финляндия', 'Patron', ""Cockburn's"", 'Русский Стандарт', 'Bacardi', 'Budweiser', 'Балтика 7', 'Beefeater'}",2204 1849 7477 3565,10,10120
Пивточка,"(59.9114816,30.3083315)",2024-04-15 13:02:06.356512,"{'Ликер', 'Бренди', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Вино', 'Текила', 'Шампанское', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Jameson', 'Шато Тамань', 'Tanqueray', 'Абсолют', 'Campari', 'Noilly Prat', 'Винодельня Фанагория', 'Жигулевское', 'Stella Artois', 'Ararat', 'Remy Martin', 'Beefeater', 'Массандра', 'Hoegaarden', 'Veuve Clicquot', 'Fizzy', ""Fuller's"", 'Jose Cuervo', 'Kahlua', 'Арарат'}",2206 4246 6036 4232,23,29040
Магнит,"(59.903055,30.3263466)",2023-07-07 15:47:18.385040,"{'Туалетная бумага', 'Молочные продукты', 'Шампунь', 'Сыр', 'Напитки', 'Батарейки', 'Хлебобулочные', 'Колбасные изделия', 'Макароны', 'Колбаса', 'Консервы'}","{'Рыбный остров', 'Папа может', 'Макфа', 'Rich', 'Hochland', 'Дымов', 'Окраина', 'Kleenex', 'Head & Shoulders', 'Вкуснотеево', 'Простоквашино', 'Duracell', 'Булочная Столичная'}",4276 8807 2099 5044,13,2183
РеалЪ,"(59.9068784,30.3188311)",2024-04-27 13:24:19.531481,"{'Влажные салфетки', 'Хлебобулочные', 'Косметика и уход', 'Кофе и чай', 'Гель для душа', 'Корма для животных', 'Кофе', 'Газировка', 'Молочные продукты', 'Напитки', 'Батарейки', 'Соусы и специи', 'Замороженные продукты'}","{'Rexona', 'Брест-Литовск', 'Каравай', 'Булочный Завод', 'Rich', 'Pepsi', 'Energizer', 'Dove', 'Huggies', 'Whiskas', 'Золотой Петушок', 'Jacobs', 'Nescafe', 'Торчин'}",2202 5615 6675 3055,15,2264
Вкустер,"(59.9054965,30.3426548)",2024-04-23 20:26:43.307402,"{'Гель для душа', 'Йогурт', 'Колбасные изделия', 'Соусы и специи', 'Зубная паста', 'Замороженные продукты'}","{'Черкизово', 'Чудо', 'Дымов', 'Dove', 'Splat', 'Торчин'}",2206 2407 3202 8670,6,940
Redmond,"(59.9257833,30.3158463)",2023-10-18 16:52:09.751161,"{'Проектор', 'Колонки', 'Часы', 'Внешний жесткий диск', 'Умная колонка', 'Видеокарта'}","{'Bose', 'Nvidia', 'Amazon', 'Epson', 'Apple', 'Samsung'}",5406 3165 6447 5408,6,91200
Красное&Белое,"(59.918835,30.3524305)",2023-07-12 18:50:15.998779,"{'Портвейн', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Текила', 'Ром', 'Водка', 'Сидр', 'Пиво'}","{'Sandeman', 'Финляндия', 'Don Julio', 'Campari', ""Fuller's"", 'Hennessy', 'Русский Стандарт', 'Bacardi', 'Espolon', 'Heineken', 'Jose Cuervo', 'Noilly Prat', 'Apple Fox', 'Tanqueray'}",5406 6524 9503 8615,16,20410
Пиворыба,"(59.9043596,30.2905981)",2023-02-20 17:31:51.739089,"{'Ликер', 'Бренди', 'Вермуты', 'Коньяк', 'Эль', 'Текила', 'Шампанское', 'Ром', 'Водка', 'Пиво'}","{'Veuve Clicquot', 'Metaxa', 'Финляндия', 'Patron', 'Torres', 'Guinness', 'Noilly Prat', 'Hennessy', 'Kilkenny', 'Amstel', 'Budweiser', 'Havana Club', 'Malibu', 'Martini Asti', 'Жигулевское'}",4277 1821 2373 4984,17,22660
Хмель Солод,"(59.9029188,30.3114705)",2023-06-14 09:37:53.812124,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Текила', 'Ром', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Metaxa', 'Patron', 'Espolon', 'Tanqueray', 'Абсолют', 'Old Speckled Hen', 'Hennessy', 'Noilly Prat', 'The Macallan', 'Apple Fox', 'Bass Pale Ale', 'Baileys', 'Torres', ""Cockburn's"", 'Kilkenny', 'Hoegaarden', 'Magners', ""Gordon's"", 'Bacardi', 'Somersby', 'Fonseca'}",4277 3435 2281 3480,23,26120
Ladoga Wine,"(59.8976704,30.3073811)",2024-05-05 19:03:09.671826,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Эль', 'Вино', 'Текила', 'Ром', 'Водка', 'Сидр', 'Виски'}","{""Hendrick's"", 'Sandeman', 'Финляндия', 'Абрау-Дюрсо', 'Torres', 'Царская', 'Olmeca', ""Sheridan's"", ""Cockburn's"", 'Jameson', 'Bacardi', 'Somersby', 'Johnnie Walker', 'Amaretto', 'Bass Pale Ale'}",5406 6971 4848 1600,17,18380
Республика,"(59.932546,30.346727)",2024-08-23 14:28:02.483056,"{'Философия', 'Современная проза', 'Бизнес-литература', 'Научпоп', 'Поэзия', 'Саморазвитие', 'Детская литература', 'Психология', 'Приключения', 'Классика', 'Исторический роман', 'Фэнтези', 'Юмор', 'Детектив'}","{'Вудхаус', 'Манфреди', 'Ахматова', 'Фромм', 'Куриосити', 'Шарма', 'Грин', 'Тургенев', 'Дефо', 'Достоевский', 'Лондон', 'Сапковский', 'Кристи', 'Платон', 'Хмелевская', 'Сорокин', 'Маккьюэн', 'Дюма', 'Барто'}",5489 4461 3115 4461,20,7470
iOS-Store,"(59.9290329,30.3454799)",2024-06-06 14:20:57.028827,"{'Фотоаппарат', 'Клавиатура', 'Внешний жесткий диск', 'Материнская плата', 'Смартфон', 'Видеокарта'}","{'Xiaomi', 'Toshiba', 'SteelSeries', 'ASUS', 'Sony', 'AMD'}",5469 6807 5954 7509,7,116700
Красное&Белое,"(59.9255269,30.3053258)",2023-01-08 21:56:39.727504,"{'Ликер', 'Бренди', 'Коньяк', 'Вино', 'Текила', 'Шампанское', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Белуга', 'Baileys', 'Metaxa', 'Абрау-Дюрсо', 'Fizzy', 'Olmeca', 'Stella Artois', 'Русский Стандарт', 'Ararat', 'Heineken', 'Somersby', 'Johnnie Walker', 'Pliska', 'Martini Asti', 'Kahlua', 'Арарат'}",5443 8881 5892 6310,18,19090
Не указано,"(59.9067694,30.298571)",2023-07-08 10:24:21.701683,"{'Наушники', 'Планшет', 'Монитор', 'Колонки', 'Игровая консоль', 'Клавиатура', 'Умная колонка'}","{'Google', 'Huawei', 'Microsoft', 'Amazon', 'Samsung', 'Harman Kardon', 'JBL'}",4277 4662 1669 2682,9,133800
Хмель Солод,"(59.9003792,30.3114166)",2024-03-17 20:53:50.829568,"{'Ликер', 'Бренди', 'Коньяк', 'Эль', 'Водка', 'Сидр', 'Пиво'}","{'Жигулевское', 'Белуга', 'Metaxa', 'Leffe', ""Sheridan's"", 'Vecchia Romagna', 'Kilkenny', 'Apple Fox', 'Remy Martin'}",2200 1233 9234 8786,9,10090
Пятёрочка,"(59.9210515,30.3535032)",2024-08-13 18:03:46.200526,"{'Косметика и уход', 'Детские товары', 'Корма для животных', 'Минеральная вода', 'Газировка', 'Коньяк', 'Молочные продукты', 'Молоко', 'Напитки', 'Колбасные изделия', 'Сметана', 'Мясо', 'Овощи', 'Фрукты'}","{'АрАрАт', 'Черкизово', 'Боржоми', 'Хаггис', 'Pepsi', 'Добрый', 'Dove', 'Фермер', 'Мираторг', 'Pedigree', 'Whiskas', 'Вкуснотеево', 'Простоквашино', 'Агроферма'}",2204 8449 8721 8878,15,3752
Красное&Белое,"(59.9089733,30.3469446)",2023-04-29 12:48:50.978849,"{'Бренди', 'Джин', 'Коньяк', 'Эль', 'Водка'}","{""Hendrick's"", 'Абсолют', 'Metaxa', 'Old Speckled Hen', 'Courvoisier'}",2206 4179 1688 5680,6,10450
РосАл,"(59.9132772,30.2977644)",2024-05-22 10:45:48.817753,"{'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Текила', 'Шампанское', 'Ром', 'Водка', 'Пиво'}","{'Белуга', 'Patron', 'Арарат', 'Espolon', 'Havana Club', 'Old Speckled Hen', 'Noilly Prat', 'Кизлярский', 'Bombay Sapphire', 'Beefeater', 'Hoegaarden', ""Hendrick's"", 'Bosca', 'Bacardi', 'Vecchia Romagna', 'Sailor Jerry', ""Graham's"", 'Martini Asti', 'Fonseca'}",4272 6262 8699 8888,20,29420
Ароматный мир,"(59.9223551,30.2929959)",2023-07-22 20:43:05.458207,"{'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Текила', 'Водка', 'Сидр', 'Пиво'}","{'Magners', 'Кизлярский', 'Fizzy', 'Абсолют', 'Patron', 'Carlsberg', 'Torres', 'Fonseca', 'Noilly Prat', 'Ararat', 'Newcastle Brown Ale', 'Carpano', 'Hoegaarden', 'Pliska', 'Tanqueray', 'Remy Martin'}",2200 7863 6668 4488,16,20490
Норман,"(59.9149389,30.3222524)",2023-05-21 16:27:27.806055,"{'Ликер', 'Бренди', 'Джин', 'Вермуты', 'Эль', 'Шампанское', 'Ром', 'Сидр', 'Пиво', 'Виски'}","{'Metaxa', 'Johnnie Walker', 'Amaretto', 'Campari', ""Sheridan's"", 'Балтика 7', 'Bass Pale Ale', 'Zacapa', ""Jack Daniel's"", 'Stella Artois', 'Chivas Regal', 'Kilkenny', 'Hoegaarden', 'Magners', 'Fizzy', 'Bosca', 'Советское', ""Gordon's"", 'Kahlua'}",5406 1697 6338 2664,23,23470
КрафтБеру,"(59.9345632,30.3104103)",2024-02-02 14:57:25.770504,"{'Бренди', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Вино', 'Текила', 'Шампанское', 'Ром', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Jameson', 'Инкерман', 'Espolon', 'Havana Club', 'Tanqueray', 'Финляндия', 'Cinzano Bianco', 'Guinness', 'Strongbow', 'The Macallan', 'Балтика 7', 'Жигулевское', 'Moet & Chandon', ""Jack Daniel's"", 'Torres', 'Массандра', 'Hoegaarden', 'Leffe', ""Gordon's"", ""Fuller's"", 'Vecchia Romagna', 'Sailor Jerry', 'Courvoisier'}",4272 3829 4553 1828,23,27090
Красное&Белое,"(59.9279469,30.3118268)",2024-06-12 12:56:56.956640,"{'Бренди', 'Джин', 'Коньяк', 'Эль', 'Текила', 'Ром', 'Водка', 'Сидр'}","{'Абсолют', 'Fizzy', 'Bombay Sapphire', 'Olmeca', ""Fuller's"", 'Somersby', 'Havana Club', 'Pliska', 'Tanqueray', 'Courvoisier'}",2206 7230 6877 2001,11,13180
Пятёрочка,"(59.9208871,30.3106096)",2023-03-31 09:55:48.664561,"{'Косметика и уход', 'Шоколад', 'Средство для мытья посуды', 'Пельмени', 'Лапша быстрого приготовления', 'Полуфабрикаты', 'Колбаса', 'Консервы'}","{'Rexona', 'Останкино', 'Бондюэль', 'Milka', 'Роллтон', 'AOS', 'Окраина'}",2204 3994 5237 5366,8,1280
Masters Bookstore,"(59.9357029,30.3348353)",2024-09-04 17:23:03.350715,"{'Бизнес-литература', 'Фантастика', 'Научпоп', 'Научная фантастика', 'Детская литература', 'Психология', 'Эзотерика', 'Юмор'}","{'Успенский', 'Хайнлайн', 'Ильф и Петров', 'Герберт', 'Грин', 'Тайсон', 'Гашек', 'Лем', 'Пиаже', 'Саймак', 'Маршак', 'Куриосити'}",2200 4479 3696 7903,13,4570
Ароматный мир,"(59.9311952,30.3132762)",2023-09-09 21:18:10.200828,"{'Ликер', 'Портвейн', 'Джин', 'Вино', 'Шампанское', 'Водка', 'Сидр', 'Пиво'}","{'Veuve Clicquot', 'Leffe', 'Финляндия', ""Dow's"", 'Царская', ""Sheridan's"", ""Cockburn's"", 'Strongbow', 'Балтика 7', 'Шато Тамань', 'Amaretto', 'Malibu', 'Martini Asti', 'Beefeater'}",4276 2108 5859 1273,15,15980
Красное&Белое,"(59.9089733,30.3469446)",2024-01-30 19:50:17.976378,"{'Джин', 'Вермуты', 'Коньяк', 'Текила', 'Шампанское', 'Водка', 'Пиво'}","{""Hendrick's"", 'Белуга', 'Bosca', 'Patron', 'Bombay Sapphire', 'Noilly Prat', 'Budweiser', 'Courvoisier'}",2200 8105 3821 1932,8,13550
Градусы,"(59.9133172,30.3489688)",2024-03-31 09:54:21.623291,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Эль', 'Шампанское', 'Водка', 'Виски'}","{'Bosca', ""Dow's"", 'Bombay Sapphire', 'Финляндия', 'Jameson', 'Ararat', 'Newcastle Brown Ale', 'Kahlua'}",4272 6754 9895 3535,8,8410
Дикси,"(59.918506,30.3460359)",2024-05-17 12:39:28.474981,"{'Сладости', 'Газировка', 'Колбасные изделия', 'Хлебобулочные', 'Полуфабрикаты', 'Рис'}","{'Папа может', 'Великолукский МК', 'Увелка', 'Булочный Завод', 'Добрый', 'Аленка', 'Элика'}",5443 1853 6121 1551,8,1375
Перекрёсток,"(59.9191342,30.3392889)",2023-10-07 17:20:02.429382,"{'Кофе и чай', 'Газировка', 'Колбасные изделия', 'Хлебобулочные', 'Средство для чистки', 'Консервы'}","{'Рыбный остров', 'Великолукский МК', 'Бородинский', 'Булочный Завод', 'Pepsi', 'Comet', 'Nescafe'}",5443 6995 7274 8078,7,1107
Красное&Белое,"(59.926147,30.312523)",2023-11-15 10:50:29.090787,"{'Ликер', 'Портвейн', 'Вермуты', 'Коньяк', 'Эль', 'Вино', 'Текила', 'Шампанское', 'Водка', 'Пиво', 'Виски'}","{'Белуга', 'Арарат', 'Инкерман', 'Newcastle Brown Ale', 'Шато Тамань', 'Cinzano Bianco', 'Hennessy', 'Русский Стандарт', 'Amstel', ""Jack Daniel's"", 'Stella Artois', 'Budweiser', 'Malibu', 'Veuve Clicquot', 'Абрау-Дюрсо', 'Bosca', 'Heineken', 'Jose Cuervo', ""Graham's"", 'Fonseca'}",4272 3845 7832 8808,21,24600
Красное&Белое,"(59.9089733,30.3469446)",2023-12-30 12:30:00.664805,"{'Бренди', 'Портвейн', 'Джин', 'Коньяк', 'Шампанское', 'Пиво', 'Виски'}","{""Hendrick's"", 'Remy Martin', 'Carlsberg', 'Bosca', 'Metaxa', 'Courvoisier', 'Jameson', 'Chivas Regal', 'Johnnie Walker', 'The Macallan', ""Graham's"", 'Pliska', 'Fonseca'}",4276 9765 8774 9190,14,25150
Пятёрочка,"(59.9129956,30.2978177)",2024-01-12 20:58:27.324758,"{'Гель для душа', 'Минеральная вода', 'Салфетки', 'Шоколад', 'Масло сливочное', 'Консервы', 'Вода', 'Вино', 'Хлеб', 'Соусы и специи', 'Средство для стекол', 'Хлебобулочные', 'Мясо', 'Овощи', 'Фрукты'}","{'Боржоми', 'Milka', 'Бондюэль', 'Крестьянское', 'Каравай', 'Нарезной', 'Шишкин лес', 'Мистер Мускул', 'КампоМос', 'Dove', 'Паляничка', 'Каберне', 'Мираторг', 'Махеев', 'Овощи России', 'Аленка', 'Kleenex', 'Агроферма'}",5406 3316 7356 2931,20,2559
Piano piano,"(59.9026859,30.3237021)",2023-09-06 12:26:08.987760,"{'Ликер', 'Джин', 'Коньяк', 'Шампанское', 'Ром', 'Водка', 'Пиво'}","{'Bosca', 'Финляндия', 'Sailor Jerry', 'Malibu', 'Балтика 7', 'Tanqueray', 'Арарат'}",5469 9573 9180 1704,7,7110
Красное&Белое,"(59.9160776,30.3288926)",2023-12-02 15:07:30.786557,"{'Ликер', 'Бренди', 'Джин', 'Вермуты', 'Коньяк', 'Вино', 'Текила', 'Водка', 'Сидр', 'Пиво'}","{'Magners', 'Metaxa', 'Patron', 'Bombay Sapphire', 'Torres', 'Царская', 'Campari', 'Olmeca', 'Hennessy', 'Noilly Prat', 'Heineken', 'Somersby', 'Винодельня Фанагория', 'Tanqueray', 'Kahlua', 'Арарат'}",5406 3744 7346 5904,19,24840
Красное&Белое,"(59.9270529,30.3306546)",2023-05-21 11:08:52.835781,"{'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Вино', 'Шампанское', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{""Hendrick's"", 'Fizzy', 'Bosca', 'Carlsberg', 'Финляндия', 'Cinzano Bianco', 'Torres', ""Gordon's"", 'Chivas Regal', 'Noilly Prat', 'Шато Тамань', 'Johnnie Walker', ""Graham's"", 'Beefeater'}",4276 4361 5101 3386,15,17080
Пятёрочка,"(59.9235602,30.3484223)",2023-10-27 18:54:14.664251,"{'Крупы', 'Детские товары', 'Корма для животных', 'Минеральная вода', 'Молочные продукты', 'Вода', 'Молоко', 'Сосиски', 'Колбасные изделия', 'Сметана', 'Рыба и морепродукты', 'Колбаса'}","{'Балтийский берег', 'Черкизово', 'Боржоми', 'Солнце и Луна', 'Увелка', 'Хаггис', 'Pampers', 'Purina', 'Аква Минерале', 'Останкино', 'Тёма', 'Дымов', 'Домик в деревне', 'Агро-альянс', 'Вкуснотеево', 'Простоквашино'}",2202 6280 9550 4146,17,4564
Красное&Белое,"(59.9257961,30.3011243)",2023-02-19 12:23:22.559319,"{'Ликер', 'Бренди', 'Портвейн', 'Вермуты', 'Коньяк', 'Вино', 'Текила', 'Шампанское', 'Водка', 'Сидр', 'Виски'}","{'Pliska', 'Белуга', 'Magners', 'Bosca', 'Torres', 'Царская', 'Chivas Regal', 'Hennessy', 'Инкерман', 'Espolon', 'Carpano', 'Johnnie Walker', ""Graham's"", 'Malibu', 'Remy Martin', 'Kahlua', 'Арарат'}",4272 3105 1499 7560,21,30630
iOS-Store,"(59.9290329,30.3454799)",2024-03-16 16:10:44.444336,"{'Наушники', 'Принтер', 'Роутер', 'Монитор', 'Жесткий диск', 'Фотоаппарат', 'Игровая консоль', 'Часы', 'Клавиатура', 'Микрофон', 'Флешка', 'Материнская плата', 'Ноутбук'}","{'Olympus', 'HP', 'Canon', 'ASUS', 'Audio-Technica', 'Sony', 'Epson', 'Apple', 'Dell', 'ADATA', 'Western Digital', 'Razer', 'JBL'}",4276 4129 5489 1288,18,287300
Express Publishing,"(59.9267454,30.3226005)",2024-05-25 13:02:17.659338,"{'Философия', 'Современная проза', 'Бизнес-литература', 'Научпоп', 'Поэзия', 'Научная фантастика', 'Детская литература', 'Психология', 'Классика', 'Приключения', 'Исторический роман', 'Фэнтези', 'Юмор'}","{'Вудхаус', 'Маяковский', 'Фрейд', 'Мартин', 'Чехов', 'Бандура', 'Тайсон', 'Тургенев', 'Дефо', 'Хокинг', 'Сартр', 'Лондон', 'Браун', 'Стивенсон', 'Хейли', 'Сорокин', 'Бунин', 'Лем', 'Барто'}",4276 8092 1005 2451,20,7230
Гранат Эко,"(59.9216431,30.3454005)",2023-07-02 12:36:12.012458,"{'Ликер', 'Бренди', 'Джин', 'Коньяк', 'Эль', 'Вино', 'Текила', 'Ром', 'Водка', 'Сидр', 'Виски'}","{'Кизлярский', 'Apple Fox', 'Fizzy', 'Абрау-Дюрсо', 'Финляндия', 'Olmeca', 'Old Speckled Hen', 'Courvoisier', ""Gordon's"", 'Chivas Regal', 'Kilkenny', 'Strongbow', 'Amaretto', 'Jose Cuervo', 'Sailor Jerry', 'Havana Club', 'Pliska', 'Remy Martin'}",4272 4991 4623 8119,20,26450
Красное&Белое,"(59.9192568,30.2903846)",2024-08-02 09:58:02.740162,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Вино', 'Текила', 'Шампанское', 'Ром', 'Водка', 'Пиво', 'Виски'}","{'Белуга', 'Шато Тамань', 'Havana Club', 'Tanqueray', 'Финляндия', 'Don Julio', ""Sheridan's"", 'Guinness', 'Русский Стандарт', 'Жигулевское', 'Moet & Chandon', ""Dow's"", ""Jack Daniel's"", 'Stella Artois', 'Chivas Regal', 'Martini Rosso', ""Hendrick's"", 'Veuve Clicquot', 'Carlsberg', 'Olmeca', 'Советское', 'Heineken', 'Vecchia Romagna'}",2206 6945 5224 4912,25,36150
Мир виски,"(59.9280373,30.3075235)",2023-04-06 12:26:34.603170,"{'Ликер', 'Портвейн', 'Джин', 'Коньяк', 'Эль', 'Вино', 'Текила', 'Шампанское', 'Водка', 'Виски'}","{'Кизлярский', 'Sandeman', 'Абсолют', 'Финляндия', 'Don Julio', ""Gordon's"", 'Hennessy', 'Chivas Regal', ""Cockburn's"", 'Инкерман', 'Amaretto', 'Martini Asti', 'Bass Pale Ale'}",4277 6228 8216 9522,13,19570
